product_asin,date_clean,daily_count,daily_avg_rating,daily_spam_count
"B018SZT3BK,B01AHB9CN","December 15, 2016",5,4.2,0
"B018SZT3BK,B01AHB9CN","December 30, 2016",5,4.8,0
"B018SZT3BK,B01AHB9CN","January 16, 2017",5,4.8,0
B00U3FPN4U,"February 03, 2017",5,4.8,0
B00U3FPN4U,"February 24, 2017",5,4.4,0
B018T075DC,"January 07, 2017",5,4.2,0
B018T075DC,"February 13, 2017",5,4.2,0
B018T075DC,"February 03, 2017",5,4.8,0
B00U3FPN4U,"January 23, 2017",5,5.0,0
B00U3FPN4U,"May 06, 2016",5,5.0,0
B00U3FPN4U,"May 17, 2017",5,4.6,0
"B00L9EPT8O,B01E6AO69","December 23, 2016",5,5.0,0
"B00L9EPT8O,B01E6AO69","December 07, 2016",5,4.8,1
"B00L9EPT8O,B01E6AO69","December 14, 2016",5,4.8,0
"B00L9EPT8O,B01E6AO69","August 18, 2017",5,4.4,0
"B00L9EPT8O,B01E6AO69","August 16, 2017",5,4.6,0
"B00L9EPT8O,B01E6AO69","July 08, 2017",4,5.0,0
"B00L9EPT8O,B01E6AO69","July 08, 2016",4,4.5,0
"B00L9EPT8O,B01E6AO69","January 23, 2017",4,4.5,0
"B00L9EPT8O,B01E6AO69","February 24, 2017",4,4.25,0
B01AHB9CN2,"April 14, 2017",4,4.5,0
B00U3FPN4U,"March 25, 2016",4,4.75,0
B00U3FPN4U,"March 15, 2017",4,4.5,0
B00U3FPN4U,"June 23, 2017",4,4.75,0
B00U3FPN4U,"June 21, 2017",4,5.0,0
B00U3FPN4U,"June 10, 2016",4,4.5,0
B01AHB9CYG,"January 06, 2017",4,5.0,0
B01AHB9CN2,"November 16, 2016",4,5.0,0
B018Y23MNM,"November 18, 2016",4,4.5,1
B018Y23MNM,"March 25, 2017",4,3.5,0
B018Y23MNM,"March 15, 2017",4,4.5,1
B018Y23MNM,"January 30, 2017",4,4.75,0
B018Y23MNM,"January 27, 2017",4,4.75,0
B018Y23MNM,"January 17, 2017",4,4.5,0
B018Y23MNM,"January 16, 2017",4,4.5,1
B018Y23MNM,"February 03, 2017",4,4.75,0
B018Y23MNM,"December 31, 2016",4,4.0,0
B018SZT3BK,"June 12, 2017",4,4.75,0
B00U3FPN4U,"November 18, 2016",4,4.5,0
B00U3FPN4U,"May 26, 2017",4,5.0,0
"B00L9EPT8O,B01E6AO69","May 27, 2016",4,4.75,1
"B00L9EPT8O,B01E6AO69","May 17, 2017",4,4.5,0
"B00L9EPT8O,B01E6AO69","June 24, 2016",4,3.75,0
"B00L9EPT8O,B01E6AO69","July 29, 2016",4,4.5,0
B018Y23MNM,"April 29, 2017",4,4.75,0
B018Y22C2Y,"January 07, 2017",4,5.0,0
B018Y22C2Y,"February 03, 2017",4,4.25,0
B018Y22C2Y,"December 24, 2016",4,4.75,0
B018Y22C2Y,"December 14, 2016",4,5.0,0
B018Y22BI4,"January 18, 2017",4,4.25,0
"B018SZT3BK,B01AHB9CN","November 25, 2016",4,5.0,0
"B018SZT3BK,B01AHB9CN","January 23, 2017",4,4.75,0
"B018SZT3BK,B01AHB9CN","January 18, 2017",4,4.25,0
"B018SZT3BK,B01AHB9CN","January 07, 2017",4,5.0,0
"B018SZT3BK,B01AHB9CN","December 31, 2016",4,4.75,0
"B018SZT3BK,B01AHB9CN","December 24, 2016",4,4.75,0
"B018SZT3BK,B01AHB9CN","December 23, 2016",4,4.5,0
"B018SZT3BK,B01AHB9CN","December 07, 2016",4,4.75,0
B018Y229OU,"November 20, 2015",4,4.75,0
B018Y229OU,"November 16, 2016",4,5.0,0
B00OQVZDJM,"February 04, 2017",4,4.75,0
"B00L9EPT8O,B01E6AO69","September 21, 2017",4,4.75,0
"B00L9EPT8O,B01E6AO69","September 20, 2017",4,5.0,0
"B00L9EPT8O,B01E6AO69","September 10, 2016",4,5.0,0
B018Y229OU,"May 13, 2016",4,4.75,1
B018Y229OU,"May 06, 2016",4,4.5,0
B018Y229OU,"March 31, 2017",4,4.75,0
B018Y229OU,"March 05, 2016",4,4.75,0
B018Y229OU,"March 04, 2016",4,4.25,0
B018Y229OU,"June 22, 2016",4,4.75,1
B018Y229OU,"June 04, 2016",4,4.5,1
"B00QWO9P0O,B00LH3DMU","December 04, 2015",4,5.0,2
B018T075DC,"January 24, 2017",4,4.75,0
B018T075DC,"January 16, 2017",4,5.0,0
B018T075DC,"December 15, 2016",4,4.75,0
B018T075DC,"December 02, 2016",4,4.75,0
B00U3FPN4U,"January 18, 2017",4,5.0,0
B00U3FPN4U,"February 17, 2017",4,5.0,0
B00U3FPN4U,"February 13, 2017",4,4.25,0
B00U3FPN4U,"December 28, 2015",4,4.5,0
B00U3FPN4U,"December 23, 2016",4,4.75,0
B00U3FPN4U,"December 16, 2016",4,5.0,0
"B00QWO9P0O,B00LH3DMU","May 24, 2016",4,4.75,1
"B00QWO9P0O,B00LH3DMU","May 17, 2016",4,4.0,1
B018Y225IA,"December 31, 2016",4,4.5,0
B018T075DC,"November 04, 2016",4,4.5,0
B018T075DC,"January 30, 2017",4,5.0,1
"B00QWO9P0O,B00LH3DMU","August 29, 2016",4,5.0,2
"B00QWO9P0O,B00LH3DMU","April 04, 2017",4,4.5,1
B00OQVZDJM,"July 07, 2017",4,4.5,0
B00OQVZDJM,"July 02, 2016",4,5.0,0
B018Y229OU,"June 03, 2016",4,4.5,0
B018Y229OU,"January 20, 2017",4,5.0,0
B018Y229OU,"January 17, 2016",4,3.75,0
"B00QWO9P0O,B00LH3DMU","March 08, 2017",4,4.75,3
"B00QWO9P0O,B00LH3DMU","February 19, 2016",4,4.75,1
"B00QWO9P0O,B00LH3DMU","February 17, 2016",4,5.0,1
"B00QWO9P0O,B00LH3DMU","February 12, 2016",4,5.0,1
B018Y229OU,"February 19, 2016",4,4.25,0
B018Y229OU,"February 04, 2017",4,4.25,0
B018Y229OU,"December 30, 2015",4,4.0,0
B018Y229OU,"December 25, 2016",4,4.5,0
B018Y229OU,"December 16, 2015",4,5.0,0
B018Y229OU,"December 04, 2015",4,4.5,0
B018Y229OU,"August 12, 2016",4,3.75,0
B018Y226XO,"January 23, 2017",4,4.5,0
B06XB29FPF,"January 06, 2018",4,4.25,0
B01J94YIT6,"December 09, 2017",4,4.5,0
B01J94YIT6,"December 02, 2017",4,4.75,0
B01BH83OOM,"September 09, 2016",4,4.75,0
B01AHB9CN2,"January 08, 2017",4,3.75,0
B01AHB9CN2,"May 12, 2017",4,5.0,0
B01AHB9CN2,"March 31, 2017",4,4.75,0
B01AHB9CN2,"March 17, 2017",4,4.5,0
B01AHB9CN2,"March 16, 2017",4,5.0,0
B01AHB9CN2,"March 15, 2017",4,4.75,0
B01AHB9CN2,"June 03, 2017",4,5.0,0
B01AHB9CN2,"January 31, 2017",4,4.75,0
B01AHB9CN2,"January 30, 2017",4,4.25,0
"B00L9EPT8O,B01E6AO69","December 24, 2016",4,4.75,0
"B00L9EPT8O,B01E6AO69","December 15, 2016",4,5.0,0
"B00L9EPT8O,B01E6AO69","August 28, 2017",4,4.75,0
"B00L9EPT8O,B01E6AO69","April 01, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","February 03, 2017",3,4.666666666666667,0
"B00L9EPT8O,B01E6AO69","February 17, 2017",3,4.666666666666667,0
B01AHB9CN2,"March 03, 2017",3,4.666666666666667,0
B01AHB9CN2,"May 07, 2017",3,5.0,0
B01AHB9CN2,"December 31, 2016",3,4.333333333333333,0
B01AHB9CN2,"February 17, 2017",3,5.0,0
B01AHB9CN2,"January 19, 2017",3,4.0,0
B01AHB9CN2,"January 28, 2017",3,5.0,0
B01BH83OOM,"January 06, 2017",3,5.0,0
B01BH83OOM,"July 14, 2017",3,4.666666666666667,0
B01BH83OOM,"September 20, 2017",3,4.333333333333333,0
B01J94YIT6,"December 01, 2017",3,4.333333333333333,1
B01J94YIT6,"February 03, 2018",3,4.333333333333333,0
B01J94YIT6,"January 17, 2018",3,5.0,0
B06XB29FPF,"December 08, 2017",3,4.666666666666667,1
B018Y226XO,"January 28, 2017",3,5.0,0
